filename,FLOPs,Unit
VetoableChangeListenerProxy.java,135.473G,85.132M
MapPageBuilder.java,304.578G,85.132M
QueuePageBuilder.java,191.530G,85.132M
Prototype.java,2.984T,85.132M
DirectoryFacade.java,527.871G,85.132M
DirectoryFacadeProvider.java,70.073G,85.132M
SingletonHiveSessionFactoryBuilder.java,1.195T,85.132M
HunApkListAdapter.java,998.749G,85.132M
CacheActionQueueSingleton.java,98.102G,85.132M
NoXmlSingletonConnectionManager.java,563.374G,85.132M
SingletonConnectionManager.java,430.706G,85.132M
PrototypeManager.java,28.965G,85.132M
AbstractStrategy.java,206.478G,85.132M
Application.java,515.725G,85.132M
AreaCalculator.java,39.242G,85.132M
BeginClass.java,208.347G,85.132M
BFSStrategy.java,175.647G,85.132M
Context.java,72.876G,85.132M
ControlePeloMeio.java,70.073G,85.132M
Course.java,185.924G,85.132M
DeserStrategy.java,30.833G,85.132M
DFSStrategy.java,165.370G,85.132M
Fernandao.java,308.315G,85.132M
Graph.java,420.429G,85.132M
HawaiianFlavor.java,316.723G,85.132M
Luxemburgo.java,317.658G,85.132M
Main.java,145.750G,85.132M
Maina.java,993.143G,85.132M
Mainn.java,146.684G,85.132M
PepperoniFlavor.java,301.775G,85.132M
Pizza.java,346.620G,85.132M
Polygon.java,181.253G,85.132M
Pricing.java,22.425G,85.132M
RectangleAreaCalc.java,355.029G,85.132M
Retranca.java,67.270G,85.132M
Strategy.java,29.899G,85.132M
StrategyPatternServiceApplication.java,79.416G,85.132M
StudentRecord.java,625.036G,85.132M
Time.java,304.578G,85.132M
Vertex.java,94.365G,85.132M
XMLDeserialization.java,980.997G,85.132M
XMLSerialization.java,505.448G,85.132M
EclipseFacade.java,152.290G,85.132M
ProjectFacade.java,1.186T,85.132M
WorkspaceFacade.java,82.219G,85.132M
CachedSingletonsRegistry.java,127.064G,85.132M
CodeFormatterFacade.java,3.681T,85.132M
CodeStyleFacade.java,336.343G,85.132M
FacetEditorFacade.java,227.032G,85.132M
FileIndexFacade.java,388.663G,85.132M
JavaCodeStyleSettingsFacade.java,152.290G,85.132M
JavaPsiFacade.java,453.129G,85.132M
MockFileIndexFacade.java,617.562G,85.132M
NewInstanceOfSingletonInspection.java,924.006G,85.132M
Singleton.java,32.702G,85.132M
SingletonInspectionTest.java,99.970G,85.132M
SingletonMap.java,46.716G,85.132M
AlbumBuilder.java,239.178G,85.132M
AlbumDatabaseBuilder.java,441.917G,85.132M
ArtistBuilder.java,202.741G,85.132M
DownloadJobBuilder.java,437.246G,85.132M
IndexFactory.java,68.205G,85.132M
LicenseBuilder.java,133.604G,85.132M
PlaylistBuilder.java,142.947G,85.132M
RadioBuilder.java,145.750G,85.132M
RadioDatabaseBuilder.java,307.381G,85.132M
ReviewBuilder.java,227.967G,85.132M
TrackBuilder.java,251.324G,85.132M
TrackDatabaseBuilder.java,547.491G,85.132M
UsersFactory.java,85.022G,85.132M
UsersFactoryImpl.java,628.773G,85.132M
AccessControlObserver.java,285.892G,85.132M
SingletonRepositoryFactory.java,63.533G,85.132M
AlbumBuilder.java,239.178G,85.132M
